"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","diffexpressed","delabel"
"HMDB13438",1.44694773442174,-0.266677736079602,13.5190287737127,1.96205952192068e-30,3.37474237770357e-28,58.4856271222457,"HMDB13438","UP","HMDB13438"
"HMDB10169",1.2420999448644,0.0781090073233831,12.1630359033961,3.69009055561425e-26,3.17347787782826e-24,48.7625535895777,"HMDB10169","UP","HMDB10169"
"HMDB07887",1.25727745202808,0.312438132492537,11.498974062794,4.31666073836515e-24,2.46844344592629e-22,44.0595181066318,"HMDB07887","UP","HMDB07887"
"HMDB13449",1.11068912452539,-0.55284027479602,11.4589797664831,5.74056615331696e-24,2.46844344592629e-22,43.7780237746652,"HMDB13449","UP","HMDB13449"
"HMDB13458",1.29493378492503,-0.235643066079602,11.4207431043869,7.53757770028313e-24,2.5929267288974e-22,43.5091085584493,"HMDB13458","UP","HMDB13458"
"HMDB13429",1.15587550896057,0.230221660865672,10.9444418377191,2.20142157539848e-22,6.31074184947564e-21,40.1777900730643,"HMDB13429","UP","HMDB13429"
"HMDB13412",1.10860555970848,0.345274616686567,10.6546927942147,1.68370872859015e-21,4.13711287596437e-20,38.1698792081964,"HMDB13412","UP","HMDB13412"
"HMDB13414",1.16448349234229,-0.209233659686567,10.5095037760385,4.63963418507758e-21,9.38870559760213e-20,37.1696835338836,"HMDB13414","UP","HMDB13414"
"HMDB11151",1.08134832367085,0.25100491021393,10.5012950496481,4.91269478944297e-21,9.38870559760213e-20,37.1132590883253,"HMDB11151","UP","HMDB11151"
"HMDB11697",1.14972752519773,0.00919257590049751,10.4638874881671,6.37419555411513e-21,1.09110119232844e-19,36.8563031183353,"HMDB11697","UP","HMDB11697"
"HMDB08183",1.03835574870998,-0.579575886532338,10.450879064128,6.97797274163536e-21,1.09110119232844e-19,36.7670139817211,"HMDB08183","UP","HMDB08183"
"HMDB13411",1.13625805139875,0.2698663080199,10.4242447991125,8.39762270670704e-21,1.20365925462801e-19,36.5843064879514,"HMDB13411","UP","HMDB13411"
"HMDB13466",1.1302386692055,0.204174349338308,10.3297820968676,1.61769360293296e-20,2.14033307464977e-19,35.9375007830385,"HMDB13466","UP","HMDB13466"
"HMDB13431",0.868291912908005,-0.687219911890547,10.0690118573185,9.78698436233061e-20,1.20240093594347e-18,34.1620610821604,"HMDB13431","UP","HMDB13431"
"HMDB08192",1.15218648325597,0.198211129457711,9.95571924223267,2.12921682210575e-19,2.44150195601459e-18,33.395581322742,"HMDB08192","UP","HMDB08192"
