"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","diffexpressed","delabel"
"HMDB13467",1.37301419463274,-0.123482848345,12.0278274638456,6.2089706124196e-27,1.06794294533617e-24,50.4682269824029,"HMDB13467","UP","HMDB13467"
"HMDB13412",1.36735029142097,-0.18155500908,11.8524314090007,2.45882509134547e-26,2.1145895785571e-24,49.1124605748556,"HMDB13412","UP","HMDB13412"
"HMDB13464",1.30897142435396,-0.13850547562,11.0576982793486,1.15835799918343e-23,6.64125252865165e-22,43.0506962223657,"HMDB13464","UP","HMDB13464"
"HMDB13411",1.24219553839949,-0.179317603585,10.7822816552109,9.44257410162653e-23,4.06030686369941e-21,40.985061740584,"HMDB13411","UP","HMDB13411"
"HMDB13465",1.24141176361534,-0.04773576718,10.4742305160846,9.63599451972815e-22,3.31478211478648e-20,38.6988831593354,"HMDB13465","UP","HMDB13465"
"HMDB13462",1.25273391587877,-0.141396156205,10.250236743206,5.12910984908339e-21,1.43084559897528e-19,37.0537307100412,"HMDB13462","UP","HMDB13462"
"HMDB13405",1.18075015385371,-0.14275749424,10.2331514325353,5.82320883303895e-21,1.43084559897528e-19,36.9288673033409,"HMDB13405","UP","HMDB13405"
"HMDB00564",1.2370320764931,-0.19119383764,10.2009776862947,7.39359794810006e-21,1.58962355884151e-19,36.6939787656887,"HMDB00564","UP","HMDB00564"
"HMDB01348",1.30893545708747,-0.15607662281,10.1845131178719,8.35346249324573e-21,1.59643949870918e-19,36.5739013566366,"HMDB01348","UP","HMDB01348"
"HMDB07887",1.18895751522455,-0.16203114024,10.0810484275086,1.7953701076418e-20,3.08803658514389e-19,35.8212742317255,"HMDB07887","UP","HMDB07887"
"HMDB13466",1.22148354261381,-0.08971451375,10.0205696265307,2.80356321398158e-20,3.68941889393834e-19,35.3829166915408,"HMDB13466","UP","HMDB13466"
"HMDB07981",1.18890163481432,-0.17005437037,10.0176854385357,2.86370487991987e-20,3.68941889393834e-19,35.3620412565776,"HMDB07981","UP","HMDB07981"
"HMDB08163",1.20622000060051,-0.07890440609,10.0144252116047,2.93323324456268e-20,3.68941889393834e-19,35.3384473439878,"HMDB08163","UP","HMDB08163"
"HMDB07867",1.20806047801893,-0.159031338245,10.0112294313199,3.00301537878702e-20,3.68941889393834e-19,35.3153231753991,"HMDB07867","UP","HMDB07867"
"HMDB10169",1.22744536587673,-0.146466863115,9.90727853118225,6.44040259364647e-20,7.38499497404795e-19,34.5649749944445,"HMDB10169","UP","HMDB10169"
"HMDB13463",1.22772838300563,-0.13660427216,9.7377784470301,2.21764026288963e-19,2.38396328260635e-18,33.34922901849,"HMDB13463","UP","HMDB13463"
"HMDB13418",1.11432140607008,-0.112511237145,9.70132424096964,2.88953246866107e-19,2.92352696829238e-18,33.0890459540429,"HMDB13418","UP","HMDB13418"
"HMDB08192",1.19878304868542,-0.1337769031,9.6586669324549,3.93613210325766e-19,3.76119289866843e-18,32.7851787169715,"HMDB08192","UP","HMDB08192"
"HMDB12101",1.24722441654578,-0.126256938545,9.61899611108981,5.2440538978177e-19,4.74724879170866e-18,32.5031606325436,"HMDB12101","UP","HMDB12101"
"HMDB13126",1.1574218214087,-0.22393558449,9.2491260244963,7.40548772847049e-18,6.36871944648462e-17,29.9013432365798,"HMDB13126","UP","HMDB13126"
"HMDB13125",1.14302842055038,-0.23155592116,9.05926724429005,2.826004399773e-17,2.2253439348774e-16,28.5859915765805,"HMDB13125","UP","HMDB13125"
"HMDB12107",1.13940281786547,-0.125896991445,9.05824387262149,2.84637014926179e-17,2.2253439348774e-16,28.5789401983881,"HMDB12107","UP","HMDB12107"
"HMDB07965",1.12716607511202,-0.19746987234,9.01831317904843,3.76558864477063e-17,2.81600542130673e-16,28.3041324080473,"HMDB07965","UP","HMDB07965"
"HMDB29221",1.04007955504399,-0.106251432485,8.97934241980265,4.94524215712888e-17,3.54409021260903e-16,28.0365515520949,"HMDB29221","UP","HMDB29221"
"HMDB13469",1.12480917682864,-0.0977219973,8.93524853716395,6.72640558094569e-17,4.62776703969063e-16,27.7345396901183,"HMDB13469","UP","HMDB13469"
"HMDB11151",1.09518488176317,-0.148599434045,8.82172333783072,1.47967557028481e-16,9.78862300342257e-16,26.9606624123714,"HMDB11151","UP","HMDB11151"
"HMDB08070",1.11993293295192,-0.200947157235,8.7748051145524,2.0464301505289e-16,1.30365179959619e-15,26.6424044247299,"HMDB08070","UP","HMDB08070"
"HMDB08522",1.11613445327212,-0.066325981745,8.71388210394147,3.11365067970217e-16,1.91267113181705e-15,26.230542106365,"HMDB08522","UP","HMDB08522"
"HMDB13341",1.06107495406854,-0.15389341834,8.58810257818917,7.36932282995036e-16,4.37077078190159e-15,25.385283443143,"HMDB13341","UP","HMDB13341"
"HMDB13404",1.04286532568696,-0.14232948953,8.47860195914463,1.55149151611182e-15,8.89521802570777e-15,24.6550778345254,"HMDB13404","UP","HMDB13404"
"HMDB07898",1.10074713375754,-0.19838375816,8.40894496126066,2.48447715473983e-15,1.37848409875887e-14,24.1933632279482,"HMDB07898","UP","HMDB07898"
"HMDB13429",1.03140438157903,-0.107332888745,8.35502192774973,3.57180009888438e-15,1.91984255315036e-14,23.8374533988459,"HMDB13429","UP","HMDB13429"
"HMDB11698",0.990379712112532,-0.1777843625,8.32360842003376,4.41029316316384e-15,2.29869825473994e-14,23.6307287351697,"HMDB11698","UP","HMDB11698"
"HMDB08271",1.05204028037187,-0.072291295845,8.29972535809684,5.17564282416555e-15,2.61826636987198e-14,23.4738650751338,"HMDB08271","UP","HMDB08271"
"HMDB13124",1.08974644279488,-0.15787705824,8.25213000590375,7.11417404471727e-15,3.43697272951712e-14,23.1620499982192,"HMDB13124","UP","HMDB13124"
"HMDB13417",0.923649849708951,-0.161416441735,8.25046478911904,7.19366385247769e-15,3.43697272951712e-14,23.1511596851018,"HMDB13417","UP","HMDB13417"
"HMDB07911",1.06413960728184,-0.19714732006,8.18008784424862,1.14918257358945e-14,5.34214601776716e-14,22.6920953950783,"HMDB07911","UP","HMDB07911"
"HMDB08029",1.04677191744041,-0.24705313646,8.00147122466977,3.7342130879595e-14,1.69022276612904e-13,21.5376096957379,"HMDB08029","UP","HMDB08029"
"HMDB13129",1.07028428364859,-0.158846734255,7.84506052856768,1.03497449969796e-13,4.56450292174486e-13,20.5394707156316,"HMDB13129","UP","HMDB13129"
"HMDB00148",-0.950915533499744,0.31882816852,-7.78830830061364,1.49376976192599e-13,6.42320997628177e-13,20.1803331586274,"HMDB00148","DOWN","HMDB00148"
"HMDB13409",0.947500229568798,-0.089252803045,7.71026872064664,2.46758878134047e-13,1.03518358631844e-12,19.6891635817054,"HMDB13409","UP","HMDB13409"
"HMDB08232",0.971240883953964,-0.11953874455,7.67679689865858,3.0574737027167e-13,1.24239733072692e-12,19.4794562733896,"HMDB08232","UP","HMDB08232"
