"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Aminoacyl-tRNA biosynthesis",48,0.24774,3,0.0014006,2.8537,0.11765,0.11337,0
"Histidine metabolism",16,0.082581,2,0.0026992,2.5688,0.22404,0.11337,0.18852
"Glutathione metabolism",28,0.14452,2,0.0082418,2.084,0.67583,0.17922,0.10839
"Porphyrin and chlorophyll metabolism",30,0.15484,2,0.0094355,2.0252,0.76428,0.17922,0
"Glyoxylate and dicarboxylate metabolism",32,0.16516,2,0.010703,1.9705,0.85623,0.17922,0.10582
"Glycerophospholipid metabolism",36,0.18581,2,0.013454,1.8712,1,0.17922,0.11182
"Arginine and proline metabolism",38,0.19613,2,0.014935,1.8258,1,0.17922,0.1638
"Linoleic acid metabolism",5,0.025806,1,0.025574,1.5922,1,0.25721,0
"Nitrogen metabolism",6,0.030968,1,0.03062,1.514,1,0.25721,0
"D-Glutamine and D-glutamate metabolism",6,0.030968,1,0.03062,1.514,1,0.25721,0.5
"alpha-Linolenic acid metabolism",13,0.067097,1,0.065303,1.1851,1,0.48469,0
"Arginine biosynthesis",14,0.072258,1,0.070168,1.1539,1,0.48469,0.11675
"Butanoate metabolism",15,0.077419,1,0.075011,1.1249,1,0.48469,0
"Sphingolipid metabolism",21,0.10839,1,0.10361,0.98461,1,0.62165,0
"Lysine degradation",25,0.12903,1,0.12224,0.91279,1,0.68454,0.14085
"Alanine, aspartate and glutamate metabolism",28,0.14452,1,0.13599,0.86649,1,0.71395,0.19712
"Glycine, serine and threonine metabolism",33,0.17032,1,0.15849,0.8,1,0.78312,0.24577
"Arachidonic acid metabolism",36,0.18581,1,0.17174,0.76513,1,0.80146,0
"Primary bile acid biosynthesis",46,0.23742,1,0.2146,0.66836,1,0.94878,0.00758
