"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","diffexpressed","delabel"
"KDM6A",0.461119635784244,4.68760696517413,6.74902904207063,1.69102028436259e-10,3.38745183363515e-06,13.4081766802023,"KDM6A","UP","KDM6A"
"LUC7L3",0.520810406746902,7.20784577114428,6.06625301590396,6.77300169085325e-09,3.39191924677931e-05,9.96967165469142,"LUC7L3","UP","LUC7L3"
"XIST",1.38770958982707,3.46870149253731,5.98217179581175,1.04902167248088e-08,4.2028004286274e-05,9.56271561238503,"XIST","UP","XIST"
"EIF1AY",-2.25482047227209,5.63148756218905,-5.85662648350007,2.00133291269666e-08,5.23984542543429e-05,8.96220859931059,"EIF1AY","DOWN","EIF1AY"
"RPS4Y1",-2.79853465346774,7.65728855721393,-5.8262063660689,2.33730315783345e-08,5.23984542543429e-05,8.81800992199241,"RPS4Y1","DOWN","RPS4Y1"
"ZMAT1",0.628836278381076,3.8327263681592,5.81601562765877,2.46173681142016e-08,5.23984542543429e-05,8.7698185376431,"ZMAT1","UP","ZMAT1"
"DDX3Y",-1.45239366417469,4.53803980099502,-5.79926391348026,2.68049753386095e-08,5.23984542543429e-05,8.69072674719657,"DDX3Y","DOWN","DDX3Y"
"KDM5D",-1.15886612276027,4.61038308457711,-5.54689601703364,9.47776269409438e-08,0.000118661588930062,7.51849363583381,"KDM5D","DOWN","KDM5D"
"TTTY10",-0.523873294948615,3.61138308457711,-5.47684168571041,1.33681429207395e-07,0.000157523905287208,7.19964842254917,"TTTY10","DOWN","TTTY10"
"CHORDC1",0.546635003275178,4.55025373134328,5.38276703538683,2.11169555363881e-07,0.000192279478774967,6.77606904921781,"CHORDC1","UP","CHORDC1"
"CD46",0.549008188016099,5.98381592039801,5.37048230167775,2.24072105524797e-07,0.00019515706164664,6.72114855810371,"CD46","UP","CD46"
"PRKY",-0.961043755702108,5.02021890547264,-5.31138966651051,2.97660587554684e-07,0.000212954888924837,6.45824683364008,"PRKY","DOWN","PRKY"
"ATP10D",0.383480590555618,3.7456368159204,5.28624321750322,3.35677006217249e-07,0.000216912315759481,6.3470170615327,"ATP10D","UP","ATP10D"
"CMAHP",0.392174945145288,3.11924875621891,5.20622312108736,4.90790146828689e-07,0.000245639718044286,5.99565695520057,"CMAHP","UP","CMAHP"
"CBWD3",0.46135857384321,4.58424875621891,5.20407825269833,4.95785610052583e-07,0.000245639718044286,5.98629364787118,"CBWD3","UP","CBWD3"
"ZNF117",0.490971834467096,5.45280099502488,5.18322407821548,5.47003732793849e-07,0.000254827413379683,5.89540530535172,"ZNF117","UP","ZNF117"
"PTPN12",0.41923031254485,5.48733333333333,5.08195400611812,8.78277217859269e-07,0.000314172307645659,5.4579217987479,"PTPN12","UP","PTPN12"
"CSGALNACT2",0.438602082642199,7.2154328358209,5.04689129057714,1.03316550498087e-06,0.000356833989582357,5.30796460939295,"CSGALNACT2","UP","CSGALNACT2"
"PRPF38B",0.393044281653885,6.53695024875622,5.00464567774939,1.25517164743049e-06,0.000399104737163929,5.12833095329021,"PRPF38B","UP","PRPF38B"
"FAS",0.404446577724082,6.65250746268657,4.983016874587,1.38608118162589e-06,0.000418928575090446,5.03680635319488,"FAS","UP","FAS"
"PNISR",0.383521361897757,7.82358208955224,4.95150500899838,1.60075932388394e-06,0.0004385101165912,4.90400118803784,"PNISR","UP","PNISR"
"FAM126B",0.452873456875516,7.26299004975124,4.94629331791247,1.63923785209884e-06,0.0004385101165912,4.88209876707667,"FAM126B","UP","FAM126B"
"KRCC1",0.415567622347129,4.91980099502488,4.9154887535217,1.88564069209209e-06,0.000489108502234472,4.75300149622089,"KRCC1","UP","KRCC1"
"MYBL1",0.397686459852099,7.85077611940299,4.89958146888857,2.02655779180617e-06,0.000489108502234472,4.686578658129,"MYBL1","UP","MYBL1"
"EDEM3",0.352033637693696,6.38000497512438,4.88952735138299,2.12082527242459e-06,0.000494004323921039,4.64468177322125,"EDEM3","UP","EDEM3"
"ODF2L",0.404707497875575,5.07562686567164,4.84106897279011,2.63797354679452e-06,0.00054478233081843,4.4436796026912,"ODF2L","UP","ODF2L"
"ECHDC1",0.390329010839014,4.72023383084577,4.83548133688594,2.70491992394546e-06,0.000551777603832863,4.4206018946794,"ECHDC1","UP","ECHDC1"
"ITGB1",0.465676446015704,6.03400497512438,4.82330986494516,2.85648394020969e-06,0.000560991042061574,4.37040345430568,"ITGB1","UP","ITGB1"
"RBM7",0.429790877016583,5.50152736318408,4.79229952866146,3.28068077603273e-06,0.000618006169094755,4.24295200776876,"RBM7","UP","RBM7"
"JMJD1C",0.405742157467731,6.76061691542289,4.76966361574959,3.62812289201355e-06,0.00062653929114496,4.15032276522054,"JMJD1C","UP","JMJD1C"
"N4BP2L2",0.393641283449157,5.71977611940298,4.74794967660374,3.99466020388842e-06,0.000655910108231909,4.06178767429853,"N4BP2L2","UP","N4BP2L2"
"FGFR1OP2",0.420700266911872,7.05208955223881,4.74399354931681,4.06518557467089e-06,0.000662063393754531,4.04569116933082,"FGFR1OP2","UP","FGFR1OP2"
"UBR3",0.403259051093225,4.7846368159204,4.70793796261073,4.76585205252625e-06,0.000723254153910651,3.89947393100508,"UBR3","UP","UBR3"
"USP9Y",-0.35662920028923,2.93891542288557,-4.69264681076491,5.09699682853868e-06,0.00076769203360366,3.8377274643263,"USP9Y","DOWN","USP9Y"
"CEP170",0.416394834181104,6.57872139303483,4.68324170551484,5.31158661313488e-06,0.000782365463487632,3.79982754955591,"CEP170","UP","CEP170"
"HIAT1",0.378772077668461,6.10459701492537,4.67544669153074,5.49602210829634e-06,0.000797799383140524,3.76846117039886,"HIAT1","UP","HIAT1"
"CAPN7",0.374215722091419,3.73260199004975,4.64992382809655,6.14415077536088e-06,0.000848825022979511,3.66604772210185,"CAPN7","UP","CAPN7"
"CLINT1",0.350756846428786,6.33849253731343,4.64702299721011,6.22231829270348e-06,0.000853736164653672,3.65443578439701,"CLINT1","UP","CLINT1"
"MOSPD2",0.369107844085147,6.88913930348259,4.62801435319824,6.75877886243932e-06,0.000885415627363024,3.57848643561292,"MOSPD2","UP","MOSPD2"
"SGMS1",0.499787263498391,4.15439303482587,4.61271045361841,7.22282029508693e-06,0.000906863217985381,3.51751841739772,"SGMS1","UP","SGMS1"
"COL4A3BP",0.399340404505398,5.79505970149254,4.6016276543626,7.57788361092642e-06,0.000914458822253482,3.47346640244022,"COL4A3BP","UP","COL4A3BP"
"PGLYRP1",-0.385921146592561,6.62323383084577,-4.56904652830403,8.72179014899951e-06,0.000957854487829421,3.34444997715744,"PGLYRP1","DOWN","PGLYRP1"
"PAG1",0.402517575945089,7.04080597014925,4.55921193063467,9.09858596828802e-06,0.000965748063630517,3.30564970355502,"PAG1","UP","PAG1"
"PRKX",-0.427930279727694,3.36871641791045,-4.55625825807739,9.21477876029205e-06,0.000965748063630517,3.29400963097279,"PRKX","DOWN","PRKX"
"CAMP",-0.408693912611304,8.24050248756219,-4.53260641014738,1.01981431941455e-05,0.0010186082823123,3.20101750614376,"CAMP","DOWN","CAMP"
"UBR5",0.439558643644073,6.26569154228856,4.52535955091357,1.05191402080962e-05,0.00103442085454356,3.17260232563133,"UBR5","UP","UBR5"
"RNF145",0.351258959647969,4.79949751243781,4.52502396643768,1.05342379356472e-05,0.00103442085454356,3.17128736777417,"RNF145","UP","RNF145"
"SLC35F5",0.528946874737913,4.8612039800995,4.50747680523453,1.13533892204361e-05,0.00109341871569123,3.10263906287897,"SLC35F5","UP","SLC35F5"
"POLI",0.492514009080723,5.18203980099502,4.49695569984188,1.18735722756037e-05,0.00112194056521176,3.06158063520489,"POLI","UP","POLI"
"EIF1AX",0.38879147087933,6.25326368159204,4.46478651829466,1.36101575982501e-05,0.00118025401302228,2.93651865723752,"EIF1AX","UP","EIF1AX"
"PLAGL1",0.376695305047588,5.67161194029851,4.45819087631546,1.39952031222311e-05,0.00119808508095954,2.91096636455133,"PLAGL1","UP","PLAGL1"
"C1ORF27",0.448756896421382,3.70275124378109,4.43904511808586,1.51731310599681e-05,0.00124060474038074,2.83696575237903,"C1ORF27","UP","C1ORF27"
"PGRMC2",0.416916779226102,3.94539303482587,4.39726895430509,1.808297753475e-05,0.00136518904067794,2.67638862817183,"PGRMC2","UP","PGRMC2"
"PAPOLG",0.411066656087692,6.29336815920398,4.38404281389354,1.91109588985336e-05,0.00139771419207137,2.62580670316162,"PAPOLG","UP","PAPOLG"
"PTP4A1",0.374855296150993,4.07161194029851,4.33737763930907,2.32048654438741e-05,0.00154946621523895,2.44832927311241,"PTP4A1","UP","PTP4A1"
"ZNF382",0.409762062979701,5.18074626865672,4.32028551945195,2.49050819160998e-05,0.0016183001077026,2.38371114595248,"ZNF382","UP","ZNF382"
"KIAA1468",0.444492060328345,5.10241293532338,4.31824345327742,2.51160252181247e-05,0.00161958067854148,2.37600486197572,"KIAA1468","UP","KIAA1468"
"CDC37L1",0.460394989662964,4.82233333333333,4.28096911234262,2.92810331184128e-05,0.00178285001649862,2.23586324292929,"CDC37L1","UP","CDC37L1"
"FAR1",0.428956295851633,5.93630845771144,4.27832777575254,2.96000272349193e-05,0.00178419388217844,2.22597022437987,"FAR1","UP","FAR1"
"TMF1",0.460140739509074,4.99562686567164,4.2582522296108,3.21356969057394e-05,0.00187134383841794,2.15094163207204,"TMF1","UP","TMF1"
"SEC23A",0.438600862233064,4.57923880597015,4.2457933732623,3.38125409629252e-05,0.00191878985996974,2.10452458555782,"SEC23A","UP","SEC23A"
"MYO5A",0.408718449115049,6.75082587064677,4.24451127800159,3.39897754742125e-05,0.00192339882005487,2.09975431503753,"MYO5A","UP","MYO5A"
"TSPAN13",0.458103748738577,7.38549253731343,4.23974591584377,3.46563571509515e-05,0.00194436091534645,2.08203428720474,"TSPAN13","UP","TSPAN13"
"ZNF84",0.351829693151711,4.56206965174129,4.2388896351609,3.47774527353204e-05,0.00194436091534645,2.07885193603459,"ZNF84","UP","ZNF84"
"ZBTB1",0.530436158136502,3.4972039800995,4.19149881787309,4.21485978212102e-05,0.00216779006950848,1.9035503168441,"ZBTB1","UP","ZBTB1"
"FBXL3",0.359682795338144,5.43596019900497,4.14631002722509,5.0552026150904e-05,0.00237713189637303,1.73791085419874,"FBXL3","UP","FBXL3"
"ZNRF2",0.456903799369465,5.88876119402985,4.14141545664657,5.15528004251468e-05,0.00239684865766567,1.72005907139842,"ZNRF2","UP","ZNRF2"
"RAB28",0.362528688500549,6.39224378109453,4.14133418070341,5.15695772490967e-05,0.00239684865766567,1.71976278430058,"RAB28","UP","RAB28"
"ARMCX3",0.380742599273343,6.55499004975124,4.13940090144709,5.19701815930727e-05,0.00239877114671067,1.71271654006687,"ARMCX3","UP","ARMCX3"
