"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","diffexpressed","delabel"
"RPS4Y1",-3.53055959079283,8.25454,-8.005448470324,9.36273852935262e-14,7.09677184631592e-10,20.7134643451572,"RPS4Y1","DOWN","RPS4Y1"
"KDM6A",0.618216879795395,4.55791,7.99681865101986,9.87395805053714e-14,7.09677184631592e-10,20.662544018073,"KDM6A","UP","KDM6A"
"XIST",1.74081739130435,3.20737,7.98486290645569,1.06281527251137e-13,7.09677184631592e-10,20.5920445974735,"XIST","UP","XIST"
"DDX3Y",-1.86410076726343,4.891695,-7.91983697988577,1.58455754549357e-13,7.30217435077454e-10,20.2095396325203,"DDX3Y","DOWN","DDX3Y"
"GPR183",0.557814322250647,8.068355,7.64930289516567,8.20076458095275e-13,2.05347145107057e-09,18.6355864369596,"GPR183","UP","GPR183"
"LTB4R",-0.493108439897697,6.801345,-7.54276471652952,1.55416615893024e-12,2.83027786324459e-09,18.023744231705,"LTB4R","DOWN","LTB4R"
"EIF1AY",-2.6509273657289,6.045905,-7.45051544099231,2.69303476176664e-12,3.96042457122767e-09,17.4977481771169,"EIF1AY","DOWN","EIF1AY"
"HK3",-0.441616368286443,6.8544,-7.40521813359151,3.52288541273894e-12,4.36147317251053e-09,17.2407783874343,"HK3","DOWN","HK3"
"ZNF331",0.59935345268542,5.51884,7.35627706688601,4.70444036429751e-12,5.2355194098671e-09,16.9641220679662,"ZNF331","UP","ZNF331"
"TSPAN13",0.954814322250642,7.08643,7.34581543060808,5.00379727176571e-12,5.27558247094793e-09,16.905117745699,"TSPAN13","UP","TSPAN13"
"LRFN1",-0.418843989769823,5.0172,-7.29567156731744,6.72089728585878e-12,6.69887380579242e-09,16.6229622821611,"LRFN1","DOWN","LRFN1"
"CCDC88B",-0.493763682864447,7.02778,-7.17683179180203,1.34634455019623e-11,1.12374891789712e-08,15.9586760168683,"CCDC88B","DOWN","CCDC88B"
"LEPROTL1",0.55112225063939,6.62506,7.130734330204,1.75976112699774e-11,1.31779534498848e-08,15.7027007888868,"LEPROTL1","UP","LEPROTL1"
"KDM5D",-1.35985421994885,4.836425,-7.11559782585303,1.9210976586126e-11,1.37432923641823e-08,15.618858923273,"KDM5D","DOWN","KDM5D"
"LRRN3",0.930290537084399,4.21787,7.10954741017827,1.98959404233869e-11,1.37432923641823e-08,15.5853745281458,"LRRN3","UP","LRRN3"
"ZEB2",-0.404386189258309,8.644925,-7.03414304138909,3.07447328632769e-11,1.86629845065807e-08,15.1694765881206,"ZEB2","DOWN","ZEB2"
"RFXAP",0.567164705882353,6.283555,6.97258952345076,4.37731969075387e-11,2.48389857441675e-08,14.8319254916811,"RFXAP","UP","RFXAP"
"BIRC3",0.482240920716113,7.825865,6.90015200196186,6.61886744413278e-11,3.07303171142537e-08,14.4369687654471,"BIRC3","UP","BIRC3"
"EIF1AX",0.641851662404092,6.1121,6.89897263204727,6.66343893608936e-11,3.07303171142537e-08,14.4305589933169,"EIF1AX","UP","EIF1AX"
"PRKY",-1.11864143222506,5.14464,-6.88503028548354,7.21330272026365e-11,3.14240903462429e-08,14.354833890086,"PRKY","DOWN","PRKY"
"ZNF439",0.498306393861891,3.963585,6.87055726616298,7.83137083990026e-11,3.26829209718504e-08,14.2763249191036,"ZNF439","UP","ZNF439"
"PNISR",0.595840920716117,7.699585,6.75243526158063,1.52611920673285e-10,5.65300656219349e-08,13.6393566415956,"PNISR","UP","PNISR"
"SPDYE2B",0.444698721227618,4.66809,6.68229681542522,2.26063638282769e-10,7.304043229162e-08,13.2643740299385,"SPDYE2B","UP","SPDYE2B"
"TC2N",0.614191304347827,5.95256,6.63343214026876,2.96815558963348e-10,9.09940124868768e-08,13.0045762993741,"TC2N","UP","TC2N"
"ADAP2",-0.424963171355502,5.360505,-6.63163231203504,2.99800560310197e-10,9.09940124868768e-08,12.9950300932133,"ADAP2","DOWN","ADAP2"
"WWP1",0.494105882352946,4.588805,6.61235805384645,3.33677312810924e-10,9.45289591145686e-08,12.8929028046116,"WWP1","UP","WWP1"
"FAAH",-0.417423017902816,4.41797,-6.60406193891719,3.49392735213966e-10,9.45815577271104e-08,12.849002533871,"FAAH","DOWN","FAAH"
"EIF4H",-0.41032992327365,8.333625,-6.57063829248779,4.20422009986041e-10,1.05273671300505e-07,12.6724897379126,"EIF4H","DOWN","EIF4H"
"AKIRIN1",0.439197953964197,7.05788,6.53287121860256,5.17850046010726e-10,1.20622931647522e-07,12.473725137216,"AKIRIN1","UP","AKIRIN1"
"UBE3A",0.513966240409212,7.02226,6.45033615103523,8.14539314005372e-10,1.61170255302145e-07,12.0419106795869,"UBE3A","UP","UBE3A"
"ADD3",0.4998168797954,8.34983,6.44977334214571,8.17049083126662e-10,1.61170255302145e-07,12.0389782789954,"ADD3","UP","ADD3"
"PDIK1L",0.587013299232736,4.631015,6.43007133604232,9.09861100486194e-10,1.75253245816725e-07,11.9364294642664,"PDIK1L","UP","PDIK1L"
"NUDT21",0.47714782608696,5.38796,6.40614839971611,1.03655966205059e-09,1.94059468693433e-07,11.8121845686324,"NUDT21","UP","NUDT21"
"GLCCI1",0.754480306905374,6.411285,6.35909035409049,1.33840299755242e-09,2.33695894556366e-07,11.5686679867754,"GLCCI1","UP","GLCCI1"
"MAK16",0.405683887468036,6.39528,6.3495642609801,1.40926810480855e-09,2.39241175216313e-07,11.5195152445685,"MAK16","UP","MAK16"
"TTTY10",-0.561571867007673,3.640555,-6.33398012513752,1.53322059269565e-09,2.54548574700001e-07,11.4392085119825,"TTTY10","DOWN","TTTY10"
"FAM208B",0.544941176470587,5.7108,6.33189358297192,1.5506086318789e-09,2.54548574700001e-07,11.4284661798474,"FAM208B","UP","FAM208B"
"MROH6",-0.417645012787726,5.10676,-6.33161626888669,1.55293413425162e-09,2.54548574700001e-07,11.4270386341067,"MROH6","DOWN","MROH6"
"ZNF549",0.401146803069054,5.65093,6.31049596645463,1.74047901525711e-09,2.70273454524267e-07,11.3184374193204,"ZNF549","UP","ZNF549"
"IGIP",0.541952429667519,5.555105,6.29519224265546,1.89009302406611e-09,2.89025522580858e-07,11.2398948025654,"IGIP","UP","IGIP"
"PGRMC2",0.635895652173914,3.83624,6.22374747995937,2.77305189908956e-09,3.61303341460177e-07,10.8748965976359,"PGRMC2","UP","PGRMC2"
