"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","diffexpressed","delabel"
"UBE3A",0.407769578408024,7.02226,4.76820812558614,3.73593265376321e-06,0.00315563553195774,4.11261735051786,"UBE3A","UP","UBE3A"
"MYO5A",0.509909263143315,6.68539,4.6237473952172,7.02747111975166e-06,0.0036895861016937,3.53985457430453,"MYO5A","UP","MYO5A"
"SLC30A5",0.45827331813368,5.686555,4.61721301010181,7.2288300746816e-06,0.0036895861016937,3.51427121365193,"SLC30A5","UP","SLC30A5"
"CIDECP",0.40060986998538,4.782625,4.53129371785194,1.04526530697902e-05,0.0036895861016937,3.18052496095374,"CIDECP","UP","CIDECP"
"ZNF23",0.421449113966707,4.51835,4.41765105217293,1.68931897271386e-05,0.00441739499977621,2.74671870240865,"ZNF23","UP","ZNF23"
"SELT",0.405589618084558,4.330855,4.20336463544239,4.07630523331977e-05,0.00546584839684257,1.95286058619832,"SELT","UP","SELT"
"MYBL1",0.405949172224841,7.72834,4.19909273485251,4.1471598987594e-05,0.00546584839684257,1.93736054047949,"MYBL1","UP","MYBL1"
"GLCCI1",0.528871769347685,6.411285,4.16325874461886,4.78969903963138e-05,0.00596337307181878,1.80784923227704,"GLCCI1","UP","GLCCI1"
"ADO",0.411617060312188,6.108675,4.14842568509534,5.08261444975202e-05,0.00605439467470107,1.75450575614424,"ADO","UP","ADO"
"PDIK1L",0.41944753349741,4.631015,4.13845089154201,5.28913272799863e-05,0.00605439467470107,1.71872174776611,"PDIK1L","UP","PDIK1L"
"TMEM245",0.421776448366514,5.32559,4.12438887804794,5.59393035141683e-05,0.00612921290509644,1.6683953532594,"TMEM245","UP","TMEM245"
"CEP170",0.44429020157131,6.48114,4.0465070558582,7.60971503530816e-05,0.00699256016455473,1.39222522009805,"CEP170","UP","CEP170"
"TSPAN13",0.581076013351665,7.08643,3.98986580426321,9.49243585589796e-05,0.00738828038940115,1.19411744835711,"TSPAN13","UP","TSPAN13"
"PCMTD1",0.481591661143009,7.73943,3.97854039261769,9.91867565677459e-05,0.00738828038940115,1.15478476369026,"PCMTD1","UP","PCMTD1"
"C1ORF27",0.478738227001085,3.60116,3.97486620148402,0.000100608261573878,0.00738828038940115,1.14204448590944,"C1ORF27","UP","C1ORF27"
"TXLNG2P",0.404892102449438,3.33511,3.89793001661624,0.000135225537789047,0.00814091062740379,0.877531760786797,"TXLNG2P","UP","TXLNG2P"
"SLC35F5",0.519498104728412,4.76458,3.87461527854849,0.000147776578165224,0.00838600683797666,0.798230977491062,"SLC35F5","UP","SLC35F5"
"C10ORF88",0.427518254162899,5.895425,3.85449521839175,0.000159489218727765,0.00858840868159836,0.730118476500752,"C10ORF88","UP","C10ORF88"
"C2ORF69",0.562500145709961,5.43626,3.8165842384394,0.000183990910509133,0.00899207182314246,0.602592242045339,"C2ORF69","UP","C2ORF69"
"WAPAL",0.409735006041689,5.95726,3.81650886097832,0.00018404300356871,0.00899207182314246,0.602339746774315,"WAPAL","UP","WAPAL"
"SOAT1",0.474764786606522,5.31262,3.81249621737838,0.000186836389582565,0.00904035400028486,0.588904509065462,"SOAT1","UP","SOAT1"
"ARMCX3",0.414439502900287,6.429975,3.79912772848677,0.000196435490200969,0.00937760289349938,0.544230187027806,"ARMCX3","UP","ARMCX3"
"FAM210A",0.405707918685348,4.574635,3.77852975225181,0.000212144941189816,0.00954782278149702,0.475657207595542,"FAM210A","UP","FAM210A"
"KLF10",0.403077442073478,6.953565,3.75611622469332,0.000230587227979369,0.00976535163509997,0.401399966036836,"KLF10","UP","KLF10"
"NUS1",0.415355112376225,5.63403,3.64495828949689,0.000346717551135368,0.0120170330924292,0.0387069148989685,"NUS1","UP","NUS1"
"UBR5",0.46637037208526,6.121665,3.6340017474008,0.000360760147705274,0.0122695199980171,0.00346302148682387,"UBR5","UP","UBR5"
"ITGB1",0.418314654819423,5.93744,3.60046057890772,0.00040715493317425,0.013327005917233,-0.10386096429399,"ITGB1","UP","ITGB1"
"ZNRF2",0.457609876724371,5.77019,3.5892595626387,0.000423861232250581,0.0136948196845865,-0.139510522701795,"ZNRF2","UP","ZNRF2"
