"","logFC","AveExpr","t","P.Value","adj.P.Val","B","metab_symbol","diffexpressed","delabel"
"HMDB13438",1.40078807511438,-0.266677736079602,11.9559214478687,2.55235961950073e-25,4.39005854554125e-23,46.8622041359932,"HMDB13438","UP",NA
"HMDB13458",1.32163759387989,-0.235643066079602,10.7234681316524,1.43691230146178e-21,1.21587885744105e-19,38.3593186628929,"HMDB13458","UP",NA
"HMDB13449",1.12231810618164,-0.55284027479602,10.6671634437628,2.12071893739718e-21,1.21587885744105e-19,37.9761865205758,"HMDB13449","UP",NA
"HMDB10169",1.04109140730229,0.0781090073233831,9.97956473535752,2.34502453415687e-19,1.00836054968745e-17,33.3460159444311,"HMDB10169","UP",NA
"HMDB13412",1.03925724379585,0.345274616686567,9.39980866349159,1.14397110744427e-17,3.93526060960828e-16,29.5237557292725,"HMDB13412","UP",NA
"HMDB13429",1.06733017786456,0.230221660865672,9.25542682263677,2.97240916110313e-17,8.52090626182897e-16,28.5853732530313,"HMDB13429","UP",NA
"HMDB07887",1.07130435309201,0.312438132492537,9.21914919743638,3.77499885027842e-17,9.27571146068411e-16,28.3505070564365,"HMDB07887","UP",NA
"HMDB13414",1.0665128925205,-0.209233659686567,9.13960537414943,6.36753563421731e-17,1.31340801099685e-15,27.8368464765656,"HMDB13414","UP",NA
"HMDB08183",0.997882240261042,-0.579575886532338,9.12797179996784,6.87248377847188e-17,1.31340801099685e-15,27.7618752159084,"HMDB08183","UP",NA
"HMDB13417",1.02193321630788,0.227488315069652,9.03330146328204,1.27698539141386e-16,2.19641487323184e-15,27.1532649713425,"HMDB13417","UP",NA
"HMDB11151",1.0034600193433,0.25100491021393,8.97297881104898,1.89252233812311e-16,2.85408083293956e-15,26.766865505477,"HMDB11151","UP",NA
"HMDB13431",0.843454799796977,-0.687219911890547,8.96517174965215,1.99121918577178e-16,2.85408083293956e-15,26.7169378119532,"HMDB13431","UP",NA
"HMDB13453",1.18331094510056,-0.0382437833980099,8.94190777573199,2.31665645029321e-16,3.06511468808025e-15,26.5682708484684,"HMDB13453","UP",NA
