"","logFC","AveExpr","t","P.Value","adj.P.Val","B","metab_symbol","diffexpressed","delabel"
"HMDB13412",1.32262669944706,-0.18155500908,9.92248027321981,7.99429905920721e-20,1.37501943818364e-17,34.3748034641711,"HMDB13412","UP","PC(o-16:1(9Z)/18:0)"
"HMDB00564",1.28983681374381,-0.19119383764,9.12103072029488,2.3484296182211e-17,1.52573509094256e-15,28.8171133078584,"HMDB00564","UP","PC(16:0/16:0)"
"HMDB13411",1.22568182702718,-0.179317603585,9.10303698064168,2.66116585629517e-17,1.52573509094256e-15,28.6949204434483,"HMDB13411","UP","PC(o-16:1(9Z)/16:1(9Z))"
"HMDB13405",1.1877530177452,-0.14275749424,8.90114369183229,1.07312020973795e-16,4.61441690187319e-15,27.3322921076895,"HMDB13405","UP","PC(o-16:0/18:0)"
"HMDB13418",1.15028852113745,-0.112511237145,8.598667398835,8.41447749658595e-16,2.89458025882557e-14,25.3207787781873,"HMDB13418","UP","PC(o-18:0/18:2(9Z,12Z))"
"HMDB13467",1.10078332172738,-0.123482848345,8.49991446630412,1.63506729222223e-15,4.68719290437039e-14,24.6721782870646,"HMDB13467","UP","SM(d18:0/22:2(13Z,16Z)(OH))"
"HMDB13126",1.23238477693387,-0.22393558449,8.40963971902946,2.99035081606163e-15,7.34771914803714e-14,24.0828790138785,"HMDB13126","UP",NA
"HMDB13125",1.2244478838506,-0.23155592116,8.27084002908634,7.51423364692164e-15,1.45670334669678e-13,23.1837065112674,"HMDB13125","UP","Hydroxypropionylcarnitine"
"HMDB07981",1.11871531341122,-0.17005437037,8.26867937150629,7.62228495364595e-15,1.45670334669678e-13,23.1697763509518,"HMDB07981","UP","PC(16:0/20:3(8Z,11Z,14Z))"
"HMDB13462",1.16556135401765,-0.141396156205,8.23820640864097,9.32050058570094e-15,1.60312610074056e-13,22.9735327989554,"HMDB13462","UP","SM(d18:0/14:1(9Z)(OH))"
"HMDB13464",1.1084484140527,-0.13850547562,8.18761102350113,1.30041829269488e-14,2.03338133039564e-13,22.6486201077429,"HMDB13464","UP",NA
"HMDB10169",1.18287340128367,-0.146466863115,8.13854707347921,1.79422135322334e-14,2.57171727295346e-13,22.3346452821046,"HMDB10169","UP","SM(d18:1/16:0)"
"HMDB13404",1.13465191738582,-0.14232948953,7.87108624808836,1.01753766664921e-13,1.34628060510511e-12,20.6426422683416,"HMDB13404","UP","PC(o-16:0/16:1(9Z))"
"HMDB13463",1.14548687277831,-0.13660427216,7.76639928832539,1.9888047494451e-13,2.44338869217541e-12,19.9896174979002,"HMDB13463","UP","SM(d18:0/16:1(9Z)(OH))"
"HMDB11151",1.12065665072424,-0.148599434045,7.66983192353717,3.67309142105566e-13,4.09427528229433e-12,19.3919878435316,"HMDB11151","UP","PC(O-16:0/18:2(9Z,12Z))"
"HMDB13288",1.0601173997946,-0.20391512761,7.65975582154483,3.91488674427662e-13,4.09427528229433e-12,19.3298953383818,"HMDB13288","UP",NA
