"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","diffexpressed","delabel"
"LUC7L3",0.542769458293143,7.20784577114428,5.88115434127883,1.85380184105855e-08,9.2838396200212e-05,9.01186909300429,"LUC7L3","UP","LUC7L3"
"ZMAT1",0.681174603960494,3.8327263681592,5.80832557744591,2.68270293033571e-08,0.00010747981020097,8.67010028876788,"ZMAT1","UP","ZMAT1"
"PRPF38B",0.466346443015094,6.53695024875622,5.58791257976235,8.06197211303084e-08,0.000155754836067539,7.65351122010224,"PRPF38B","UP","PRPF38B"
"E2F3",0.37358286769902,7.13792537313433,5.58455827888058,8.19634500425242e-08,0.000155754836067539,7.63825070750213,"E2F3","UP","E2F3"
"ZNF140",0.38336785602232,4.23515422885572,5.52549393437766,1.09537991106532e-07,0.000182855419820504,7.37058638083547,"ZNF140","UP","ZNF140"
"FBXW7",0.372773433611938,7.91671144278607,5.50345736455155,1.21990762175414e-07,0.00018797838060753,7.27123454141763,"FBXW7","UP","FBXW7"
"KRCC1",0.474100406655788,4.91980099502488,5.32017039171611,2.95403866343178e-07,0.000365188068466812,6.45584809366838,"KRCC1","UP","KRCC1"
"ZNF420",0.400962094558478,2.96331343283582,5.28768941656467,3.44799855491443e-07,0.000365188068466812,6.31342158980189,"ZNF420","UP","ZNF420"
"TBK1",0.363889503212015,4.33546268656716,5.28650333751977,3.46747941167206e-07,0.000365188068466812,6.30823268232785,"TBK1","UP","TBK1"
"ZNF146",0.369858158077815,5.83406467661692,5.27592387471877,3.646047009453e-07,0.000365188068466812,6.26198657651678,"ZNF146","UP","ZNF146"
"PNISR",0.432039578024062,7.82358208955224,5.22183366193174,4.70823864846088e-07,0.000392980985858202,6.02659562498198,"PNISR","UP","PNISR"
"PRKRIR",0.394063726703072,3.89644278606965,5.19696297359555,5.29237769599883e-07,0.000424067640024994,5.9189577355977,"PRKRIR","UP","PRKRIR"
"OTUD1",0.357057467400594,9.18489054726368,5.17287050241859,5.92509868018381e-07,0.000426527055694413,5.81504740425153,"OTUD1","UP","OTUD1"
"ZNF331",0.37578837159475,5.65326865671642,5.14427291760766,6.7718660455835e-07,0.000428999838071141,5.6921678996616,"ZNF331","UP","ZNF331"
"ZNF117",0.522240208566521,5.45280099502488,5.02970090280979,1.15053355997183e-06,0.000635541057621086,5.20493941835658,"ZNF117","UP","ZNF117"
"N4BP2L2",0.447932116934963,5.71977611940298,5.02228003870815,1.19037799540572e-06,0.000635541057621086,5.17366371293072,"N4BP2L2","UP","N4BP2L2"
"CLINT1",0.39613453699161,6.33849253731343,4.92841743743897,1.82551176021755e-06,0.000793409459246153,4.78107375423728,"CLINT1","UP","CLINT1"
"FGFR1OP2",0.452343918730328,7.05208955223881,4.88443171528953,2.22618837889346e-06,0.000833862114617117,4.59902781721462,"FGFR1OP2","UP","FGFR1OP2"
"INSIG2",0.405797304162321,4.42033830845771,4.88227997637595,2.24783117957889e-06,0.000833862114617117,4.59015413172238,"INSIG2","UP","INSIG2"
"PTPN12",0.430062125589616,5.48733333333333,4.85253068535169,2.56875440435707e-06,0.00090275944259791,4.46777474056879,"PTPN12","UP","PTPN12"
"FAM126B",0.462176000474119,7.26299004975124,4.82031691472349,2.96620351198601e-06,0.000947634189317781,4.3359020258938,"FAM126B","UP","FAM126B"
"REV3L",0.376860056681659,5.81565174129353,4.81571806853286,3.02758526938588e-06,0.000947634189317781,4.31713072743854,"REV3L","UP","REV3L"
"UBR5",0.499392551676797,6.26569154228856,4.80529833609813,3.17123773865655e-06,0.00097204789606945,4.27465094149548,"UBR5","UP","UBR5"
"MYO5A",0.48569699052888,6.75082587064677,4.73298864030461,4.36604803884426e-06,0.00112129069633498,3.98180787778885,"MYO5A","UP","MYO5A"
"C1ORF27",0.492381292738897,3.70275124378109,4.72347954004712,4.55237330193406e-06,0.00113225823837558,3.94355280168646,"C1ORF27","UP","C1ORF27"
"ODF2L",0.423875384682391,5.07562686567164,4.70538859347272,4.92827536931063e-06,0.00118022067792001,3.87093770433506,"ODF2L","UP","ODF2L"
"MYBL1",0.410851318400739,7.85077611940299,4.69344012888146,5.1927928363515e-06,0.00118206847838401,3.82309651417617,"MYBL1","UP","MYBL1"
"CD46",0.511632300440926,5.98381592039801,4.68784248608924,5.32137897777161e-06,0.00119041343261796,3.800716297461,"CD46","UP","CD46"
"UBR3",0.421451389038625,4.7846368159204,4.67835164154248,5.54645115977121e-06,0.00119041343261796,3.76281796988998,"UBR3","UP","UBR3"
"RAB28",0.430290078447018,6.39224378109453,4.67324623009329,5.67129601162034e-06,0.00119041343261796,3.74245605815162,"RAB28","UP","RAB28"
"CBWD3",0.435883482174729,4.58424875621891,4.66178466796665,5.96152459310918e-06,0.00120627536009256,3.69680704057392,"CBWD3","UP","CBWD3"
"CEP290",0.396591895899059,4.14494029850746,4.65599376568996,6.1135583629454e-06,0.00122364935003552,3.6737763355624,"CEP290","UP","CEP290"
"ITGB1",0.493967733502485,6.03400497512438,4.6515166217315,6.23365760214135e-06,0.00122364935003552,3.65598583128743,"ITGB1","UP","ITGB1"
"ECHDC1",0.407906886735295,4.72023383084577,4.65141291879835,6.23646621936514e-06,0.00122364935003552,3.65557391279901,"ECHDC1","UP","ECHDC1"
"CSGALNACT2",0.429701679668824,7.2154328358209,4.6488782217512,6.30549491249704e-06,0.00122364935003552,3.64550807148625,"CSGALNACT2","UP","CSGALNACT2"
"SGMS1",0.537288396240222,4.15439303482587,4.63681565733725,6.64422572901154e-06,0.00124389840937906,3.59766373882307,"SGMS1","UP","SGMS1"
"CEP170",0.438467011391244,6.57872139303483,4.61738534793753,7.22704783271197e-06,0.00126028199578715,3.5208009696101,"CEP170","UP","CEP170"
"PRPF4B",0.355416869113651,6.29739800995025,4.60699991998542,7.55846720270672e-06,0.00126028199578715,3.47982186753657,"PRPF4B","UP","PRPF4B"
"RNF145",0.389576055154726,4.79949751243781,4.59698900069406,7.89177144456781e-06,0.00128230310205592,3.44038907378708,"RNF145","UP","RNF145"
"FCER1A",0.403661536634105,7.73705472636816,4.59288478995078,8.03247241031283e-06,0.00128610563063613,3.42424215356873,"FCER1A","UP","FCER1A"
"MOSPD2",0.380541764654565,6.88913930348259,4.59124036937884,8.08952223742772e-06,0.00128610563063613,3.41777580110241,"MOSPD2","UP","MOSPD2"
"HIAT1",0.392300739454597,6.10459701492537,4.5313749610001,1.04539025797193e-05,0.00149580411769241,3.18361031753732,"HIAT1","UP","HIAT1"
"ZNF236",0.406894054742672,2.96783084577114,4.52149291534312,1.09033147584504e-05,0.00152514812511801,3.14518991600139,"ZNF236","UP","ZNF236"
"COL4A3BP",0.414851521651439,5.79505970149254,4.51577489030691,1.11717895244672e-05,0.00152514812511801,3.12298914873286,"COL4A3BP","UP","COL4A3BP"
