Cell Type	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
002_S_2043	0.0	0.002336	0.006697	0.0	0.120723	0.041494	0.05017	0.0	0.0	0.0	0.108274	0.001746	0.119464	0.0	0.004954	0.114538	0.0	0.0	0.007154	0.0	0.036768	0.385682
002_S_2073	0.0	0.016611	0.0	0.0	0.082951	0.002671	0.056085	0.0	0.0	0.007814	0.118386	0.0	0.23181	0.0	0.029769	0.129386	0.0	0.0	0.023882	0.0	0.060776	0.239859
002_S_4237	0.0	0.001509	0.004886	0.0	0.144562	0.061896	0.064986	0.0	0.0	0.001604	0.076355	0.0	0.138007	0.0	0.001841	0.119874	0.0	0.0	0.01269	0.0	0.057539	0.314251
002_S_4447	0.034337	0.180325	0.0	0.0	0.136868	0.021613	0.062638	0.0	0.0	0.0	0.116717	0.0	0.10195	0.0	0.003084	0.112561	0.0	0.0	0.0	0.0	0.063212	0.166697
002_S_4473	0.0	0.012962	0.0	0.022183	0.116712	0.0	0.061562	0.0	0.0	0.0	0.178292	0.0	0.189606	0.0	0.002914	0.122938	0.0	0.001333	0.031863	0.0	0.078213	0.181422
003_S_2374	0.0	0.0	0.0	0.0	0.079002	0.026934	0.052001	0.0	0.0	0.0	0.152877	0.0	0.138986	0.0	0.006719	0.133966	0.0	0.0	0.037324	0.0	0.053869	0.318322
005_S_2390	0.0	0.008282	0.011858	0.059422	0.079803	0.029098	0.058805	0.0	0.0	0.036537	0.153839	0.020559	0.167451	0.0	0.032591	0.084278	0.0	0.008266	0.000763	0.0	0.04416	0.204287
005_S_4168	0.0	0.0	0.0	0.028687	0.100363	0.031647	0.064337	0.003243	0.005937	0.075638	0.182826	0.0	0.149253	0.0	0.022408	0.085412	0.0	0.0	0.010405	0.0	0.045501	0.194343
005_S_4185	0.0	0.0	0.0	0.034219	0.073623	0.018655	0.061403	0.0	0.0	0.013166	0.117658	0.0	0.190972	0.0	0.0	0.135801	0.0	0.0	0.022568	0.0	0.066853	0.265082
007_S_2058	0.0	0.004437	0.022206	0.054213	0.127172	0.041701	0.054644	0.0	0.001257	0.044379	0.129639	0.019814	0.171898	0.0	0.005648	0.104572	0.0	0.0	0.0	0.0	0.063505	0.154914
007_S_2106	0.0	0.0	0.0	0.076569	0.057629	0.01801	0.057029	0.0	0.0	0.0	0.130437	0.0	0.191384	0.0	0.0089	0.116739	0.0	0.0	0.0	0.0	0.079923	0.263381
007_S_2394	0.0	0.012546	0.001521	0.009091	0.122195	0.03646	0.052655	0.0	0.0	0.034934	0.144695	0.003316	0.163756	0.0	0.011306	0.103198	0.0	0.0	0.040379	0.0	0.086238	0.17771
007_S_4272	0.0	0.0	0.0	0.112829	0.044541	0.0	0.066952	0.0	0.004012	0.06895	0.153738	0.0	0.17695	0.0	0.000858	0.103812	0.0	0.0	0.008057	0.0	0.058855	0.200446
007_S_4467	0.0	0.009068	0.007629	0.025715	0.136779	0.047657	0.061136	0.0	0.003934	0.061257	0.159696	0.010142	0.13964	0.0	0.013385	0.096645	0.0	0.0	0.000395	0.0	0.065682	0.16124
009_S_2208	0.0	0.0	0.000369	0.0	0.088007	0.079529	0.037039	0.0	0.0	0.0	0.105704	0.0	0.133828	0.0	0.005429	0.117598	0.0	0.0	0.016861	0.0	0.081476	0.33416
009_S_2381	0.0	0.0	0.007688	0.047983	0.075989	0.007635	0.056703	0.0	0.0	0.059924	0.154373	0.0	0.12408	0.0	0.001969	0.116782	0.0	0.0	0.00894	0.0	0.040833	0.2971
009_S_4530	0.0	0.0	0.0	0.033056	0.087311	0.0	0.047331	0.0	0.0	0.0	0.167779	0.0	0.147527	0.0	0.006624	0.119978	0.0	0.0	0.0	0.0	0.040408	0.349986
011_S_2274	0.0	0.035869	0.006567	0.072548	0.120266	0.053096	0.062471	0.0	0.018334	0.023908	0.181709	0.0	0.123647	0.0	0.0	0.083596	0.0	0.004151	0.008409	0.0	0.056149	0.149282
011_S_4235	0.0	0.0	0.0	0.0	0.081752	0.017798	0.046764	0.0	0.0	0.008148	0.146827	0.004567	0.180846	0.0	0.009372	0.120214	0.0	0.0	0.008561	0.0	0.082733	0.292418
011_S_4547	0.0	0.0	0.005662	0.065566	0.071614	0.002756	0.05164	0.0	0.0	0.003132	0.153721	0.013661	0.165458	0.0	0.0	0.121903	0.0	0.0	0.003736	0.0	0.041746	0.299406
012_S_4012	0.0	0.0	0.0	0.019761	0.141853	0.043412	0.047216	0.0	0.0	0.013811	0.181035	0.023262	0.143411	0.0	0.00951	0.096113	0.0	0.0	0.00632	0.0	0.055954	0.218342
012_S_4128	0.0	0.0	0.0	0.007175	0.131199	0.003051	0.049168	0.0	0.0	0.053945	0.140428	0.0	0.217971	0.0	0.01719	0.107974	0.0	0.0	0.011308	0.0	0.07297	0.187623
013_S_2324	0.0	0.000292	0.016567	0.03727	0.12845	0.058535	0.05633	0.0	0.0	0.029194	0.14035	0.0	0.102784	0.0	0.00887	0.094196	0.0	0.0	0.002762	0.0	0.061179	0.26322
013_S_2389	0.0	0.0	0.030025	0.0	0.132708	0.025963	0.067073	0.0	0.003645	0.01004	0.133361	0.0	0.134077	0.0	0.008562	0.115433	0.0	0.0	0.0	0.0	0.079732	0.259382
013_S_4268	0.0	0.0	0.0	0.003731	0.064463	0.057676	0.044849	0.0	0.0	0.075276	0.131793	0.0	0.136587	0.0	0.0	0.119314	0.0	0.0	0.023752	0.0	0.078477	0.264081
014_S_2185	0.0	0.021715	0.0	0.0	0.093791	0.106713	0.056349	0.0	0.0	0.0	0.105984	0.0	0.168909	0.0	0.0	0.125696	0.0	0.0	0.0	0.0	0.056411	0.264433
014_S_2308	0.0	0.0	0.012528	0.0	0.116972	0.014591	0.076365	0.0	0.0	0.031205	0.154655	0.010534	0.22392	0.0	0.010494	0.11666	0.0	0.0	0.005505	0.0	0.083073	0.143498
014_S_4328	0.0	0.0	0.009198	0.062568	0.134241	0.022216	0.060121	0.0	0.003882	0.0	0.152777	0.0	0.129551	0.0	0.014181	0.098115	0.0	0.0	0.013039	0.0	0.037791	0.262321
016_S_2031	0.0	0.0	0.0	0.072404	0.062705	0.0	0.042026	0.0	0.0	0.034302	0.191347	0.0	0.184196	0.0	0.0	0.119788	0.0	0.0	0.012111	0.0	0.065387	0.215734
018_S_2133	0.0	0.007121	0.003504	0.028015	0.127015	0.046527	0.055363	0.0	0.00565	0.0	0.168725	0.016698	0.116799	0.0	0.004476	0.111477	0.0	0.0	0.006717	0.0	0.04575	0.256164
018_S_2138	0.0	0.0	0.0	0.010574	0.121939	0.066174	0.038206	0.0	0.001815	0.0	0.081874	0.018071	0.137831	0.0	0.010463	0.091	0.0	0.0	0.00858	0.0	0.069468	0.344005
018_S_2155	0.036444	0.013757	0.014281	0.044465	0.137279	0.041087	0.059933	0.0	0.0	0.072581	0.166985	0.003697	0.110775	0.0	0.014089	0.086596	0.0	0.0	0.000408	0.0	0.039638	0.157984
018_S_2180	0.0	0.0	0.0	0.004238	0.16541	0.062664	0.047045	0.0	0.0	0.029269	0.12953	0.012649	0.115197	0.0	0.013921	0.095025	0.0	0.0	0.011833	0.0	0.058998	0.25422
018_S_4597	0.0	0.0	0.0	0.033231	0.074386	0.020657	0.040535	0.0	0.003966	0.0	0.123187	0.0	0.228104	0.0	0.007575	0.122331	0.0	0.0	0.008859	0.0	0.079783	0.257387
019_S_4285	0.0	0.0	0.001913	0.055075	0.071815	0.036194	0.039746	0.0	0.005346	0.065223	0.146693	0.0	0.166621	0.0	0.010333	0.101651	0.0	0.0	0.016417	0.0	0.062758	0.220214
