Cell Type	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
002_S_0729	0.0	0.003373	0.003883	0.050768	0.086296	0.047475	0.057328	0.0	0.00226	0.0	0.129095	0.003929	0.154499	0.0	0.0	0.110906	0.0	0.0	0.005798	0.0	0.0434	0.300988
002_S_1155	0.0	0.01283	0.014284	0.062888	0.070862	0.062243	0.043887	0.0	0.008689	0.0	0.171812	0.014212	0.183528	0.0	0.0	0.101562	0.0	0.0	0.011166	0.0	0.071076	0.170961
002_S_1268	0.0	0.0	0.007948	0.034377	0.090518	0.031665	0.049428	0.0	0.009304	0.0	0.105284	0.0	0.207103	0.0	0.006619	0.101989	0.0	0.0	0.030001	0.0	0.056432	0.269331
002_S_4171	0.0	0.0	0.0	0.0564	0.073638	0.028977	0.062103	0.0	0.0	0.003742	0.169877	0.0	0.120733	0.0	0.008969	0.09048	0.0	0.0	0.016725	0.0	0.03985	0.328507
002_S_4219	0.0	0.0	0.0	0.006668	0.078984	0.027923	0.044986	0.0	0.0	0.0	0.125081	0.0	0.205021	0.0	0.001738	0.135068	0.0	0.0	0.012003	0.0	0.059665	0.302863
002_S_4229	0.0	0.01101	0.004388	0.052105	0.076809	0.049456	0.054345	0.0	0.0	0.0	0.143734	0.0	0.117271	0.0	0.002128	0.114615	0.0	0.0	0.006314	0.0	0.093437	0.274387
002_S_4251	0.0	0.0	0.0	0.086239	0.070053	0.0	0.057556	0.0	0.00521	0.048888	0.230788	0.0	0.078843	0.0	0.0	0.086287	0.0	0.0	0.013125	0.0	0.054353	0.268657
002_S_4521	0.0	0.0	0.002282	0.055847	0.032478	0.030145	0.057179	0.0	0.0	0.0	0.180977	0.009811	0.198946	0.0	0.004158	0.100754	0.0	0.0	0.011587	0.0	0.045331	0.270504
002_S_4654	0.0	0.020116	0.0	0.014458	0.06812	0.064929	0.058661	0.0	0.0	0.012531	0.148824	0.0	0.157703	0.0	0.01589	0.110979	0.0	0.000497	0.002485	0.0	0.064175	0.260631
003_S_0908	0.0	0.017089	0.0	0.046654	0.108539	0.012347	0.068788	0.0	0.0	0.0214	0.16992	0.016775	0.151868	0.0	0.001849	0.107193	0.0	0.0	0.003954	0.0	0.060599	0.213027
003_S_1057	0.0	0.0	0.002168	0.060774	0.082551	0.100852	0.079061	0.0	0.0	0.040282	0.098791	0.0	0.095961	0.0	0.0	0.091712	0.0	0.0	0.036812	0.0	0.092821	0.218214
003_S_1074	0.0	0.016372	0.0	0.039672	0.093959	0.002641	0.071219	0.0	0.006708	0.029434	0.189868	0.0	0.158671	0.0	0.002652	0.112517	0.0	0.0	0.013229	0.0	0.061313	0.201747
003_S_1122	0.0	0.040634	0.0	0.0	0.088	0.093477	0.069	0.0	0.0	0.074086	0.121349	0.0	0.134035	0.0	0.0	0.106813	0.0	0.0	0.008137	0.0	0.092014	0.172454
003_S_4354	0.0	0.0	0.0	0.064227	0.045558	0.035624	0.049372	0.0	0.0	0.004536	0.113259	0.0	0.156696	0.0	0.0	0.114909	0.0	0.0	0.0	0.0	0.091387	0.324431
005_S_0448	0.0	0.0	0.003283	0.05748	0.097635	0.040309	0.043369	0.0	0.003231	0.0	0.092965	0.020374	0.206376	0.0	0.0	0.115401	0.0	0.0	0.013029	0.0	0.08795	0.218599
005_S_0546	0.0	0.0	0.0	0.091155	0.020581	0.0	0.059617	0.0	0.002383	0.01917	0.200485	0.006264	0.206906	0.0	0.0	0.104214	0.0	0.0	0.004448	0.0	0.084889	0.199887
005_S_0572	0.0	0.0	0.002031	0.059118	0.028479	0.022259	0.068471	0.0	0.0	0.04151	0.171262	0.0	0.140238	0.0	0.009768	0.108592	0.0	0.0	0.008668	0.0	0.035908	0.303695
006_S_1130	0.0	0.0	0.0	0.0	0.102321	0.039017	0.066797	0.0	0.0	0.0	0.088268	0.009415	0.119386	0.0	0.0	0.124776	0.0	0.0	0.0	0.0	0.061001	0.389019
006_S_4346	0.0	0.00512	0.0	0.0	0.114627	0.067016	0.04983	0.0	0.0	0.0	0.087425	0.0	0.14193	0.0	0.003143	0.121577	0.0	0.0	0.018679	0.0	0.072544	0.318109
006_S_4363	0.0	0.008945	0.0	0.047862	0.08501	0.045674	0.051262	0.0	0.0	0.000413	0.165712	0.018081	0.102465	0.0	0.0	0.096487	0.0	0.0	0.0	0.0	0.059887	0.318201
006_S_4515	0.0	0.0	0.0	0.087756	0.042592	0.014219	0.055533	0.0	0.001339	0.026088	0.161569	0.0	0.154255	0.0	0.001017	0.115152	0.0	0.0	0.006864	0.0	0.081416	0.2522
007_S_0101	0.0	0.0	0.002261	0.018014	0.063357	0.025695	0.047209	0.0	0.0	0.0	0.158295	0.0	0.193637	0.0	0.050662	0.100981	0.0	0.0	0.013383	0.0	0.051284	0.275223
007_S_0128	0.0	0.022643	0.006229	0.0166	0.110744	0.107724	0.046655	0.0	0.000874	0.0	0.093561	0.027079	0.156896	0.0	0.004237	0.107557	0.0	0.0	0.006115	0.0	0.041412	0.251672
009_S_1030	0.0	0.0	0.001604	0.009372	0.129192	0.090282	0.054947	0.0	0.004305	0.0	0.090215	0.005642	0.121169	0.0	0.002213	0.124381	0.0	0.0	0.003645	0.0	0.05526	0.307773
009_S_4324	0.0	0.0	0.0	0.020944	0.120643	0.066161	0.070854	0.0	0.004233	0.015527	0.151058	0.0	0.133865	0.0	0.0	0.099773	0.0	0.0	0.002795	0.0	0.028071	0.286075
009_S_4359	0.0	0.006949	0.0	0.044068	0.098882	0.02235	0.054363	0.0	0.0	0.0	0.151943	0.002575	0.157523	0.0	0.0	0.124256	0.0	0.0	0.011586	0.0	0.086765	0.23874
009_S_4543	0.0	0.039245	0.005901	0.046157	0.1234	0.054176	0.058619	0.0	0.008736	0.0	0.118344	0.0	0.109624	0.0	0.004478	0.104218	0.0	0.0	0.0	0.0	0.075839	0.251264
